SCIENTIFIC NAME
Ketupa zeylonensis
Lalage melanoptera
Lalage melaschistos
Lanius collurio
Lanius collurioides
Lanius cristatus
Lanius isabellinus
Lanius meridionalis
Lanius phoenicuroides
Lanius schach
Lanius tephronotus
Lanius vittatus
Larus cachinnans
Larus fuscus
Larvivora brunnea
Larvivora cyane
Leiothrix argentauris
Leiothrix lutea
Leptocoma minima
Leptocoma zeylonica
Leptopoecile sophiae
Leptoptilos dubius
Leptoptilos javanicus
Lerwa lerwa
Leucosticte brandti
Leucosticte nemoricola
Limnodromus semipalmatus
Limosa lapponica
Limosa limosa
Liocichla bugunorum
Liocichla phoenicea
Lioparus chrysotis
Locustella certhiola
Locustella kashmirensis
Locustella luteoventris
Locustella mandelli
Locustella naevia
Locustella thoracica
Lonchura atricapilla
Lonchura kelaarti
Lonchura malacca
Lonchura punctulata
Lonchura striata
Lophophanes dichrous
Lophophorus impejanus
Lophophorus sclateri
Lophotriorchis kienerii
Lophura leucomelanos
Loriculus vernalis
Loxia curvirostra
Luscinia phaenicuroides
Luscinia svecica
Lymnocryptes minimus
Lyncornis macrotis
Machlolophus aplonotus
Machlolophus nuchalis
Machlolophus spilonotus
Machlolophus xanthogenys
Macropygia rufipennis
Macropygia unchall
Marmaronetta angustirostris
Megaceryle lugubris
Megalurus palustris
Megapodius nicobariensis
Megapomatorhinus erythrogenys
Megapomatorhinus hypoleucos
Megapomatorhinus mcclellandi
Melanochlora sultanea
Melanocorypha bimaculata
Melanocorypha maxima
Melophus lathami
Mergellus albellus
Mergus merganser
Merops apiaster
Merops leschenaulti
Merops orientalis
Merops persicus
Merops philippinus
Mesophoyx intermedia
Metopidius indicus
Microhierax caerulescens
Microhierax melanoleucos
Micropternus brachyurus
Milvus migrans
Minla annectens
Minla ignotincta
Mirafra affinis
Mirafra assamica
Mirafra cantillans
Mirafra erythroptera
Mixornis gularis
Monticola cinclorhynchus
Monticola rufiventris
Monticola solitarius
Montifringilla adamsi
Montifringilla blanfordi
Montifringilla ruficollis
Motacilla alba
Motacilla cinerea
Motacilla citreola
Motacilla flava
Motacilla maderaspatensis
Motacilla tschutschensis
Mulleripicus pulverulentus
Muscicapa ferruginea
Muscicapa latirostris
Muscicapa muttui
Muscicapa ruficauda
Muscicapa sibirica
Muscicapa striata
Mycerobas affinis
Mycerobas carnipes
Mycerobas icterioides
Mycerobas melanozanthos
Mycteria leucocephala
Myophonus caeruleus
Myophonus horsfieldii
Myzornis pyrrhoura
Napothera epilepidota
Napothera malacoptila
Neophron percnopterus
Netta rufina
Nettapus coromandelianus
Niltava grandis
Niltava macgrigoriae
Niltava sundara
Ninox affinis
Ninox obscura
Ninox scutulata
Nisaetus cirrhatus
Nisaetus kelaarti
Nisaetus limnaeetus
Nisaetus nipalensis
Nucifraga caryocatactes
Nucifraga multipunctata
Numenius arquata
Numenius phaeopus
Nycticorax nycticorax
Nyctyornis athertoni
Ocyceros birostris
Ocyceros griseus
Oenanthe deserti
Oenanthe isabellina
Oenanthe oenanthe
Oenanthe picata
Oenanthe pleschanka
Oenanthe xanthoprymna
Onychoprion anaethetus
Onychoprion fuscatus
Oriolus chinensis
Oriolus kundoo
Oriolus oriolus
Oriolus tenuirostris
Oriolus traillii
Oriolus xanthornus
Orthotomus atrogularis
Orthotomus sutorius
Otus alius
Otus bakkamoena
Otus balli
Otus brucei
Otus lettia
Otus scops
Otus spilocephalus
Otus sunia
Pachycephala cinerea
Pandion haliaetus
Paradoxornis flavirostris
Paradoxornis guttaticollis
Parus cinereus
Parus major
Parus monticolus
Passer domesticus
Passer hispaniolensis
Passer montanus
Passer pyrrhonotus
Passer rutilans
Pastor roseus
Pavo cristatus
Pelargopsis amauroptera
Pelargopsis capensis
Pelecanus crispus
Pelecanus onocrotalus
Pelecanus philippensis
Pellorneum albiventre
Pellorneum palustre
Pellorneum ruficeps
Pellorneum tickelli
Perdicula argoondah
Perdicula asiatica
Perdicula erythrorhyncha
Perdix hodgsoniae
Pericrocotus brevirostris
Pericrocotus cinnamomeus
Pericrocotus
 cinnamomeus
Pericrocotus cinnamomeus
Pericrocotus divaricatus
Pericrocotus erythropygius
Pericrocotus ethologus
Pericrocotus flammeus
Pericrocotus roseus
Pericrocotus solaris
Pericrocotus speciosus
Periparus ater
Periparus rubidiventris
Periparus rufonuchalis
Pernis ptilorhynchus
Petrochelidon fluvicola
Petronia xanthocollis
Phaenicophaeus leschenaultii
Phaenicophaeus tristis
Phaenicophaeus viridirostris
Phalacrocorax carbo
Phalacrocorax fuscicollis
Phalacrocorax niger
Phalaropus lobatus
Phodilus assimilis
Phodilus badius
Phoeniconaias minor
Phoenicopterus roseus
Phoenicurus auroreus
Phoenicurus caeruleocephala
Phoenicurus erythrogastrus
Phoenicurus erythronotus
Phoenicurus frontalis
Phoenicurus fuliginosus
Phoenicurus hodgsoni
Phoenicurus leucocephalus
Phoenicurus ochruros
Phoenicurus schisticeps
Phyllergates cucullatus
Phylloscopus affinis
Phylloscopus borealis
Phylloscopus cantator
Phylloscopus chloronotus
Phylloscopus collybita
Phylloscopus coronatus
Phylloscopus fuligiventer
Phylloscopus fuscatus
Phylloscopus griseolus
Phylloscopus humei
Phylloscopus inornatus
Phylloscopus maculipennis
Phylloscopus magnirostris
Phylloscopus neglectus
Phylloscopus nitidus
Phylloscopus occipitalis
Phylloscopus pulcher
Phylloscopus reguloides
Phylloscopus sindianus
Phylloscopus subviridis
Phylloscopus trochiloides
Phylloscopus tytleri
Phylloscopus xanthoschistos
Pica pica
Picumnus innominatus
Picus canus
Picus chlorolophus
Picus flavinucha
Picus squamatus
Picus xanthopygaeus
Pinicola subhimachala
Pitta brachyura
Pitta megarhyncha
Pitta sordida
Platalea leucorodia
Plegadis falcinellus
Ploceus benghalensis
Ploceus manyar
Ploceus megarhynchus
Ploceus philippinus
Pluvialis fulva
Pluvialis squatarola
Pnoepyga albiventer
Pnoepyga immaculata
Pnoepyga pusilla
Podiceps cristatus
Podiceps grisegena
Podiceps nigricollis
Polyplectron bicalcaratum
Pomatorhinus ferruginosus
Pomatorhinus horsfieldii
Pomatorhinus ochraceiceps
Pomatorhinus ruficollis
